Surveillance Network,Season,Date Type,Date,Age Category,Race,Sex,State,Data Type,Estimate Type,Rate Type,Estimate
RSV-NET,2024-25,Week Ending Date,2025-03-29,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,1.0
RSV-NET,2024-25,Week Ending Date,2025-04-05,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.9
RSV-NET,2024-25,Week Ending Date,2025-04-12,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.6
RSV-NET,2024-25,Week Ending Date,2025-04-19,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.5
RSV-NET,2024-25,Week Ending Date,2025-04-26,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.3
RSV-NET,2024-25,Week Ending Date,2025-05-03,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.3
RSV-NET,2024-25,Week Ending Date,2025-05-10,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.2
RSV-NET,2024-25,Week Ending Date,2025-05-17,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.1
RSV-NET,2024-25,Week Ending Date,2025-05-24,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.1
RSV-NET,2024-25,Week Ending Date,2025-05-31,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.1
RSV-NET,2024-25,Week Ending Date,2025-06-07,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.1
RSV-NET,2024-25,Week Ending Date,2025-06-14,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.1
RSV-NET,2024-25,Week Ending Date,2025-06-21,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.1
RSV-NET,2024-25,Week Ending Date,2025-06-28,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.0
RSV-NET,2024-25,Week Ending Date,2025-07-05,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.0
RSV-NET,2024-25,Week Ending Date,2025-07-12,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.0
RSV-NET,2024-25,Week Ending Date,2025-07-19,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.0
RSV-NET,2024-25,Week Ending Date,2025-07-26,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.0
RSV-NET,2024-25,Week Ending Date,2025-08-02,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.0
RSV-NET,2024-25,Week Ending Date,2025-08-09,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.1
RSV-NET,2024-25,Week Ending Date,2025-08-16,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.1
RSV-NET,2024-25,Week Ending Date,2025-08-23,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.0
RSV-NET,2024-25,Week Ending Date,2025-08-30,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.1
RSV-NET,2024-25,Week Ending Date,2025-09-06,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.1
RSV-NET,2024-25,Week Ending Date,2025-09-13,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.1
RSV-NET,2024-25,Week Ending Date,2025-09-20,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.1
RSV-NET,2024-25,Week Ending Date,2025-09-27,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.1
RSV-NET,2025-26,Week Ending Date,2025-10-04,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.1
RSV-NET,2025-26,Week Ending Date,2025-10-11,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.1
RSV-NET,2025-26,Week Ending Date,2025-10-18,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.1
RSV-NET,2025-26,Week Ending Date,2025-10-25,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.2
RSV-NET,2025-26,Week Ending Date,2025-11-01,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.2
RSV-NET,2025-26,Week Ending Date,2025-11-08,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.3
RSV-NET,2025-26,Week Ending Date,2025-11-15,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.4
RSV-NET,2025-26,Week Ending Date,2025-11-22,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.4
RSV-NET,2025-26,Week Ending Date,2025-11-29,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.5
RSV-NET,2025-26,Week Ending Date,2025-12-06,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.8
RSV-NET,2025-26,Week Ending Date,2025-12-13,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,1.0
RSV-NET,2025-26,Week Ending Date,2025-12-20,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,1.3
RSV-NET,2025-26,Week Ending Date,2025-12-27,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,1.6
RSV-NET,2025-26,Week Ending Date,2026-01-03,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,2.0
RSV-NET,2025-26,Week Ending Date,2026-01-10,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,2.0
RSV-NET,2025-26,Week Ending Date,2026-01-17,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,2.0
RSV-NET,2025-26,Week Ending Date,2026-01-24,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,2.0
RSV-NET,2025-26,Week Ending Date,2026-01-31,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,2.2
RSV-NET,2025-26,Week Ending Date,2026-02-07,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,2.4
RSV-NET,2025-26,Week Ending Date,2026-02-14,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,2.6
RSV-NET,2025-26,Week Ending Date,2026-02-21,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,3.0
RSV-NET,2025-26,Week Ending Date,2026-02-28,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,2.8
RSV-NET,2025-26,Week Ending Date,2026-03-07,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,2.5
RSV-NET,2025-26,Week Ending Date,2026-03-14,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,2.3
RSV-NET,2025-26,Week Ending Date,2026-03-21,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,2.1
RSV-NET,2025-26,Week Ending Date,2026-03-28,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,1.8
RSV-NET,2025-26,Week Ending Date,2026-04-04,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,1.4
RSV-NET,2025-26,Week Ending Date,2026-04-11,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,1.3
RSV-NET,2025-26,Week Ending Date,2026-04-18,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,1.0
RSV-NET,2025-26,Week Ending Date,2026-04-25,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.7
RSV-NET,2025-26,Week Ending Date,2026-05-02,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.6
RSV-NET,2025-26,Week Ending Date,2026-05-09,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.4
RSV-NET,2025-26,Week Ending Date,2026-05-16,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.3
RSV-NET,2025-26,Week Ending Date,2026-05-23,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.3
RSV-NET,2025-26,Week Ending Date,2026-05-30,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.2
RSV-NET,2025-26,Week Ending Date,2026-06-06,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.2
RSV-NET,2025-26,Week Ending Date,2026-06-13,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.1
RSV-NET,2025-26,Week Ending Date,2026-06-20,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.1
RSV-NET,2025-26,Week Ending Date,2026-06-27,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.1
RSV-NET,2025-26,Week Ending Date,2026-07-04,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.1
RSV-NET,2025-26,Week Ending Date,2026-07-11,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.1
RSV-NET,2025-26,Week Ending Date,2026-07-18,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.0
RSV-NET,2025-26,Week Ending Date,2026-07-25,Overall,All,All,Overall,Weekly Rate,"Rate per 100,000",Observed,0.0
